date,temp,tmin,tmax,rhum,prcp,snwd,wspd,wpgt,pres,tsun,cldc,city,latitude,longitude,source
2022-01-01,20.3,13.5,26.0,66,0.0,,9.4,,1019.9,,,Nairobi,-1.2921,36.8219,meteostat
2022-01-02,20.8,15.2,26.0,65,0.0,,12.0,,1019.1,,,Nairobi,-1.2921,36.8219,meteostat
2022-01-03,20.3,16.0,27.0,65,0.0,,16.2,,1018.6,,,Nairobi,-1.2921,36.8219,meteostat
2022-01-04,20.8,15.0,27.0,58,0.0,,14.8,,1018.4,,,Nairobi,-1.2921,36.8219,meteostat
2022-01-05,20.7,14.9,26.0,66,0.0,,11.8,,1020.0,,,Nairobi,-1.2921,36.8219,meteostat
2022-01-06,20.8,17.0,26.0,70,2.4,,15.2,,1018.5,,,Nairobi,-1.2921,36.8219,meteostat
2022-01-07,21.0,18.0,26.0,70,1.0,,17.4,,1019.8,,,Nairobi,-1.2921,36.8219,meteostat
2022-01-08,20.8,14.9,26.0,66,0.1,,13.9,,1019.8,,,Nairobi,-1.2921,36.8219,meteostat
2022-01-09,20.2,14.4,26.0,64,0.3,,14.2,,1019.4,,,Nairobi,-1.2921,36.8219,meteostat
2022-01-10,20.5,14.2,28.0,66,0.0,,16.3,,1018.1,,,Nairobi,-1.2921,36.8219,meteostat
2022-01-11,20.3,17.0,26.0,63,0.0,,18.1,,1016.7,,,Nairobi,-1.2921,36.8219,meteostat
2022-01-12,20.0,14.0,26.0,65,0.0,,19.6,,1019.6,,,Nairobi,-1.2921,36.8219,meteostat
2022-01-13,21.0,15.0,27.0,58,0.0,,16.9,,1019.6,,,Nairobi,-1.2921,36.8219,meteostat
2022-01-14,21.3,14.0,28.0,52,0.0,,12.1,,1019.3,,,Nairobi,-1.2921,36.8219,meteostat
2022-01-15,19.5,14.9,27.0,70,0.5,,8.0,,1018.3,,,Nairobi,-1.2921,36.8219,meteostat
2022-01-16,20.4,14.2,28.0,70,4.4,,7.4,,1017.3,,,Nairobi,-1.2921,36.8219,meteostat
2022-01-17,19.3,14.7,24.0,80,12.1,,19.0,,1019.1,,,Nairobi,-1.2921,36.8219,meteostat
2022-01-18,18.8,14.5,25.0,79,20.5,,6.2,,1020.2,,,Nairobi,-1.2921,36.8219,meteostat
2022-01-19,19.8,16.0,26.0,70,0.0,,7.5,,1019.0,,,Nairobi,-1.2921,36.8219,meteostat
2022-01-20,20.7,14.0,27.0,67,0.0,,10.9,,1019.2,,,Nairobi,-1.2921,36.8219,meteostat
2022-01-21,19.6,16.0,25.0,76,0.0,,12.2,,1019.0,,,Nairobi,-1.2921,36.8219,meteostat
2022-01-22,20.5,16.0,26.0,68,0.0,,11.5,,1019.4,,,Nairobi,-1.2921,36.8219,meteostat
2022-01-23,20.5,14.0,26.0,57,0.0,,14.8,,1019.4,,,Nairobi,-1.2921,36.8219,meteostat
